,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hermanus,2,ZA,1578095213,81,-34.42,19.24,66.0,15.19
1,roald,90,NO,1578095482,67,62.58,6.12,37.4,27.51
2,rikitea,100,PF,1578095212,76,-23.12,-134.97,79.72,10.67
3,polohy,45,UA,1578095482,91,47.48,36.26,31.86,7.31
4,faya,0,SA,1578095482,76,18.39,42.45,57.2,5.57
5,takestan,90,IR,1578095482,93,36.07,49.69,37.4,4.7
6,puerto ayora,20,AR,1578095482,54,-51.62,-69.23,55.4,11.41
7,hirara,20,JP,1578095482,82,24.8,125.28,60.8,4.7
8,port keats,84,CD,1578095483,68,-7.04,29.76,78.13,4.52
9,jamestown,13,AU,1578095187,54,-33.21,138.6,71.47,20.29
10,pueblo nuevo,1,US,1578095382,19,38.25,-104.61,50.0,9.17
11,ayacucho,75,PE,1578095483,40,-13.16,-74.23,71.6,9.17
12,vaini,27,IN,1578095482,74,15.34,74.49,60.66,1.77
13,ystad,20,SE,1578095483,86,55.43,13.82,41.0,16.11
14,new norfolk,20,LR,1578095484,94,6.65,-10.59,71.6,5.82
15,khatanga,100,RU,1578095484,98,71.98,102.47,-3.77,5.06
16,praia,75,BR,1578095484,78,-20.25,-43.81,73.4,2.24
17,hithadhoo,44,MV,1578095484,66,-0.6,73.08,82.76,3.24
18,busselton,0,AU,1578095484,33,-33.64,115.35,66.99,9.64
19,ostrovnoy,95,RU,1578095484,83,68.05,39.51,31.26,22.59
20,punta arenas,20,PH,1578095484,73,14.18,121.12,75.99,5.82
21,carnarvon,0,ZA,1578095485,62,-30.97,22.13,65.88,9.08
22,necochea,0,AR,1578095463,65,-38.55,-58.74,68.22,15.3
23,livingstonia,100,MW,1578095485,93,-10.61,34.11,61.12,3.4
24,aykino,95,RU,1578095485,92,62.22,49.99,31.84,11.18
25,mataura,99,NZ,1578095482,67,-46.19,168.86,53.01,17.0
26,husavik,89,CA,1578095222,93,50.56,-96.99,30.0,5.01
27,provideniya,0,RU,1578095229,70,64.42,-173.23,-13.77,9.37
28,bilma,0,NE,1578095485,44,18.69,12.92,48.65,10.58
29,ancud,20,CL,1578095486,55,-41.87,-73.83,62.6,13.87
30,bethel,1,US,1578095221,76,60.79,-161.76,-9.4,13.87
31,xuddur,32,SO,1578095486,57,4.12,43.89,75.38,13.91
32,kruisfontein,50,ZA,1578095486,91,-34.0,24.73,67.3,2.26
33,bathsheba,40,BB,1578095487,74,13.22,-59.52,78.8,8.05
34,racine,90,US,1578095442,84,42.73,-87.78,34.0,4.99
35,egvekinot,0,RU,1578095487,77,66.32,-179.17,-13.47,10.54
36,strelka,99,RU,1578095487,92,58.08,93.03,23.27,9.42
37,albany,90,US,1578094790,80,42.65,-73.75,43.0,2.26
38,chokurdakh,29,RU,1578095487,96,70.62,147.9,-17.28,5.99
39,yellowknife,75,CA,1578095190,84,62.45,-114.38,3.2,8.05
40,ushuaia,75,AR,1578095188,66,-54.81,-68.31,50.0,18.34
41,georgetown,20,GY,1578095439,74,6.8,-58.16,80.6,4.7
42,hilo,40,US,1578095291,58,19.71,-155.08,82.4,8.05
43,kahului,75,US,1578095488,80,20.89,-156.47,73.4,12.75
44,cidreira,8,BR,1578095488,79,-30.17,-50.22,72.9,27.09
45,bambous virieux,40,MU,1578095488,100,-20.26,57.41,75.2,3.36
46,dingle,59,PH,1578095342,90,11.0,122.67,75.63,12.48
47,port alfred,84,CD,1578095483,68,-7.04,29.76,78.13,4.52
48,nemuro,20,JP,1578095489,57,43.32,145.57,19.4,5.82
49,coquimbo,75,CL,1578095489,82,-29.95,-71.34,60.8,10.29
50,novobirilyussy,98,RU,1578095489,90,56.95,90.69,23.18,9.95
51,butaritari,100,KI,1578095489,74,3.07,172.79,84.27,7.43
52,ornskoldsvik,62,SE,1578095377,50,63.29,18.72,33.8,19.46
53,rio gallegos,90,US,1578095490,86,41.11,-90.4,35.01,5.82
54,smithers,90,CA,1578095490,92,54.78,-127.17,24.8,5.82
55,traverse city,0,IT,1578095490,80,44.94,7.12,37.0,4.7
56,bluff,54,AU,1578095490,56,-23.58,149.07,78.69,11.7
57,barrow,0,AR,1578095346,54,-38.31,-60.23,73.09,9.17
58,isangel,40,VU,1578095491,65,-19.55,169.27,82.4,8.05
59,zyryanka,56,RU,1578095491,79,65.73,150.89,2.43,10.92
60,nhamunda,90,BR,1578095491,88,-2.19,-56.71,76.05,4.21
61,chuy,0,UY,1578095491,79,-33.69,-53.46,66.27,8.81
62,camacha,20,PT,1578095411,72,33.08,-16.33,64.4,10.29
63,lebu,75,ET,1578095491,67,8.96,38.73,57.2,4.7
64,port blair,84,CD,1578095491,68,-7.04,29.76,78.13,4.52
65,castro,20,CL,1578095332,55,-42.48,-73.76,62.6,13.87
66,llangefni,100,GB,1578095492,76,53.26,-4.31,48.2,17.22
67,socorro,1,US,1578095492,27,31.65,-106.3,52.0,3.36
68,batagay,63,RU,1578095492,96,67.65,134.64,-23.66,2.26
69,sao filipe,15,IN,1578095492,81,20.51,76.21,58.95,2.95
70,kresna,0,BG,1578095492,81,41.72,23.16,28.0,6.91
71,faanui,68,PF,1578095284,79,-16.48,-151.75,81.64,12.41
72,sorland,75,NO,1578095493,100,67.67,12.69,30.2,11.41
73,pangnirtung,90,CA,1578095350,84,66.15,-65.72,5.0,2.24
74,verkhnevilyuysk,95,RU,1578095465,98,63.45,120.31,-15.18,5.01
75,arlington,1,US,1578095315,46,32.74,-97.11,57.2,6.93
76,deputatskiy,6,RU,1578095494,95,69.3,139.9,-20.13,2.66
77,svetlogorsk,90,RU,1578095485,79,53.14,59.15,19.4,26.84
78,narsaq,100,GL,1578095494,34,60.91,-46.05,33.8,42.5
79,ponta delgada,8,BR,1578095495,66,-0.53,-65.05,78.49,2.1
80,mahanoro,100,MG,1578095495,80,-19.9,48.8,80.42,12.08
81,krasne,48,UA,1578095495,74,49.91,24.61,30.2,4.47
82,tiznit,32,MA,1578095401,45,29.7,-9.73,51.42,1.45
