,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nikolskoye,90,RU,1578337162,94,59.7,30.79,34.0,11.18
1,mayumba,53,GA,1578337163,78,-3.44,10.65,83.05,8.14
2,christchurch,98,NZ,1578337163,54,-43.53,172.64,60.01,23.04
3,nanortalik,0,GL,1578337163,74,60.14,-45.24,12.29,49.37
4,busselton,7,AU,1578337163,27,-33.64,115.35,64.99,10.89
5,monrovia,1,LR,1578337163,62,6.33,-10.8,86.0,4.7
6,new norfolk,3,LR,1578337164,62,6.65,-10.59,86.0,4.7
7,ushuaia,75,AR,1578337164,66,-54.81,-68.31,51.8,6.93
8,vaini,22,IN,1578337164,86,15.34,74.49,67.37,5.21
9,east london,39,UG,1578337164,32,3.43,31.7,81.09,5.23
10,tulsipur,86,IN,1578337164,66,27.53,82.41,55.4,2.04
11,celestun,0,MX,1578337164,68,20.87,-90.4,72.91,9.51
12,chadiza,63,ZM,1578337165,91,-14.06,32.43,68.77,2.15
13,jiquilpan,40,MX,1578337165,36,19.78,-103.78,80.6,2.57
14,berlevag,20,NO,1578337165,85,70.86,29.09,15.8,14.99
15,ponta do sol,14,BR,1578337165,41,-0.53,-65.05,96.37,4.85
16,lagoa,0,PT,1578337165,76,37.14,-8.45,57.0,2.24
17,arraial do cabo,75,BR,1578337165,54,-22.84,-46.65,86.0,9.17
18,hilo,75,US,1578337166,73,19.71,-155.08,73.4,5.82
19,sao filipe,5,IN,1578337068,54,20.51,76.21,66.43,9.95
20,puerto ayora,40,AR,1578337166,58,-51.62,-69.23,59.0,16.11
21,araouane,20,ML,1578337166,15,18.9,-3.53,64.49,6.82
22,batagay-alyta,75,RU,1578337166,84,67.8,130.41,-20.45,6.49
23,cape town,0,CL,1578337167,33,-36.41,-71.9,73.4,6.93
24,kuvandyk,100,RU,1578337167,97,51.48,57.35,16.25,2.21
25,albany,90,US,1578337167,74,42.65,-73.75,39.0,6.93
26,mataura,89,NZ,1578337167,90,-46.19,168.86,51.01,5.99
27,luderitz,58,NA,1578337167,68,-26.65,15.16,69.8,19.46
28,dongning,100,CN,1578337167,93,44.06,131.12,11.86,1.99
29,qaanaaq,59,GL,1578337168,53,77.48,-69.36,-12.53,5.23
30,victoria,75,BN,1578337168,74,5.28,115.24,82.4,4.7
31,lompoc,1,US,1578337168,46,34.64,-120.46,68.0,4.18
32,johnstown,1,US,1578337168,44,40.33,-78.92,42.01,11.41
33,victor harbor,90,US,1578337168,68,43.6,-111.11,26.6,6.93
34,ribeira grande,75,PT,1578337168,87,41.76,-8.56,52.0,1.12
35,kodiak,1,US,1578337168,55,39.95,-94.76,41.0,6.93
36,butaritari,100,KI,1578337169,80,3.07,172.79,84.85,20.76
37,clyde river,84,NZ,1578337154,83,-45.19,169.32,45.0,1.01
38,ternate,20,PH,1578337169,78,14.29,120.72,77.0,1.12
39,mys shmidta,59,RU,1578337169,94,62.06,48.62,8.01,5.26
40,iqaluit,75,CA,1578337169,57,63.75,-68.52,-11.2,12.75
41,grand river south east,0,FR,1578337170,90,48.39,5.49,37.4,5.82
42,beloha,10,MG,1578337170,73,-25.17,45.06,76.48,15.1
43,talaya,75,RU,1578337170,85,55.79,84.89,21.0,11.18
44,torbay,90,CA,1578337170,92,47.66,-52.73,28.99,19.46
45,kloulklubed,75,PW,1578337170,83,7.04,134.26,78.8,13.87
46,rocha,82,UY,1578337171,27,-34.48,-54.34,83.28,15.77
47,rikitea,85,PF,1578337171,73,-23.12,-134.97,76.01,13.27
48,jamestown,0,AU,1578337047,47,-33.21,138.6,62.74,9.33
49,dikson,100,RU,1578337171,93,73.51,80.55,13.78,15.75
50,yellowknife,75,CA,1578337171,74,62.45,-114.38,-23.01,5.82
51,barrow,34,AR,1578337171,29,-38.31,-60.23,73.06,21.27
52,whitehorse,90,CA,1578337171,75,60.72,-135.06,-11.99,3.36
